DL,DP,HE,HK,HL,PU,SE,SL,WEIGHT,MOTORIZED_PIECES_COUNT,TOTAL_VOLUME_CUBIC_FOOT,HAZMAT_FLAG,FREEZABLE_FLAG,NODE_VISIT_CNT,dock_availability_indicator,forklift_availability_indicator,customer_location_type,DWELL_TIME
1,0,0,0,0,0,0,0,221,1,178.97,FALSE,FALSE,12,N,Y,Business/Commercial,28.833333
0,0,0,0,0,2,0,0,2793,3,732.66,FALSE,FALSE,220,Y,Y,Business/Commercial,71.316667
1,0,0,0,0,0,0,0,7974,3,483.2,FALSE,FALSE,41,Y,Y,Business/Commercial,27.65
2,0,0,0,0,0,0,0,2307,4,466.13,FALSE,FALSE,47,Y,Y,Business/Commercial,32.7
1,0,0,0,0,0,0,0,936,1,176.63,FALSE,FALSE,19,N,Y,Business/Commercial,24.816667
0,0,0,0,0,3,0,0,8502,6,702.6,FALSE,FALSE,128,Y,Y,Business/Commercial,29.65
0,0,0,0,0,1,0,0,695,1,95.22,FALSE,FALSE,59,Y,Y,Business/Commercial,28.85
1,0,0,0,0,0,0,0,2125,1,410.82,FALSE,FALSE,62,Y,Y,Business/Commercial,40.266667
0,0,0,0,0,1,0,0,1359,1,301.33,FALSE,FALSE,17,Y,Y,Distribution Center,44.616667
1,0,0,0,0,0,0,0,4238,3,401.21,FALSE,FALSE,20,Y,Y,Government Sites: Post Office,48.1
1,0,0,0,0,0,0,0,2377,1,224.66,FALSE,FALSE,199,Y,Y,Business/Commercial,40.95
0,0,0,0,0,1,0,0,366,1,290.23,FALSE,FALSE,16,Y,Y,Business/Commercial,15.433333
1,0,0,0,0,0,0,0,3252,2,403.71,FALSE,FALSE,12,Y,Y,Business/Commercial,35.15
1,0,0,0,0,0,0,0,2465,3,278.01,FALSE,FALSE,31,Y,Y,Grocery Warehouse,48.3
2,0,0,0,0,0,0,0,3671,2,131.11,FALSE,FALSE,105,Y,Y,Business/Commercial,51.666667
0,0,0,0,0,1,0,0,1040,0,133.67,FALSE,FALSE,50,Y,N,Business/Commercial,50.266667
0,0,0,0,0,7,0,0,4770,10,476.76,FALSE,FALSE,69,Y,Y,Business/Commercial,59.233333
1,0,0,0,0,0,0,0,3384,2,583.79,FALSE,FALSE,19,Y,Y,Government Sites: Military,33.283333
1,0,0,0,0,0,0,0,2332,1,170.5,FALSE,FALSE,13,N,Y,Business/Commercial,22.433333
1,0,0,0,0,0,0,0,1313,1,157.35,FALSE,FALSE,53,Y,Y,Business/Commercial,22.766667
0,0,0,0,0,1,0,0,1381,1,381.93,FALSE,FALSE,26,Y,Y,Business/Commercial,17.033333
0,0,0,0,0,1,0,0,1455,2,124.5,FALSE,FALSE,74,Y,Y,Business/Commercial,35.416667
0,0,0,0,0,2,0,0,4053,3,503.32,FALSE,FALSE,25,Y,Y,Distribution Center,31.666667
1,0,0,0,0,0,0,0,811,1,413.33,FALSE,FALSE,49,Y,Y,Business/Commercial,31.716667
2,0,0,0,0,0,0,0,856,2,442.41,FALSE,FALSE,52,Y,Y,Business/Commercial,35.466667
0,0,0,0,0,1,0,0,2726,2,275.44,FALSE,FALSE,37,Y,Y,Business/Commercial,48.016667
1,0,0,0,0,0,0,0,1339,1,277.52,FALSE,FALSE,20,Y,Y,Distribution Center,33.95
1,0,0,0,0,0,0,0,1012,1,389.08,FALSE,FALSE,52,Y,Y,Business/Commercial,17.016667
0,0,0,0,0,1,0,0,2401,1,111.44,FALSE,FALSE,49,Y,Y,Business/Commercial,19.983333
0,0,0,0,0,5,0,0,4642,6,392.05,FALSE,FALSE,251,Y,Y,Business/Commercial,65.383333
0,0,0,0,0,1,0,0,11368,8,710.92,FALSE,FALSE,134,Y,Y,Distribution Center,44.433333
1,0,0,0,0,2,0,0,11237,5,460.35,FALSE,FALSE,156,Y,Y,Business/Commercial,75.083333
1,0,0,0,0,0,0,0,909,2,505.59,TRUE,FALSE,11,N,N,Business/Commercial,24.683333
